 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,175039327,185629,784341,134176,237974,329667,107976,78288,211046,309582,81743,238829,185150,113510,143355,543434,258775,139103,244942,161786,17565
aeroplane,98619,1824521,0,0,0,0,650,0,0,0,0,0,0,0,0,23,0,0,0,0,0
bicycle,105099,0,682343,0,0,3801,1,1741,14,4516,0,0,0,0,306,15016,0,0,0,0,0
bird,125714,0,0,2022066,0,0,58,0,882,0,388,0,0,0,0,2777,0,0,0,0,0
boat,71477,0,0,2303,1268470,0,0,0,0,3931,0,0,0,0,0,2472,0,0,0,0,0
bottle,65848,0,906,0,0,1825112,635,0,14,0,0,11637,0,0,0,17227,0,0,398,0,0
bus,108445,54,0,0,0,0,4205910,5265,0,0,0,0,0,0,0,1078,0,0,0,0,0
car,210773,5225,5387,0,17085,4733,5041,3302172,0,0,275,0,124,0,36249,6212,0,0,178,0,0
cat,82482,0,0,0,0,1647,0,0,5616120,1129,0,11,274,2240,0,9463,0,0,7585,0,0
chair,561639,0,74,0,0,1,0,565,8686,1361522,0,50445,499,0,503,36387,789,0,93083,0,0
cow,107470,0,0,0,0,0,0,2331,10010,0,2816572,0,0,27437,0,3024,0,0,0,0,0
diningtable,340162,0,18,0,0,679,0,0,443,74863,0,2409162,15,0,0,29653,2242,0,7513,0,0
dog,146088,0,0,0,0,0,0,1253,37998,2670,5070,103,4823188,2,1638,10779,0,1617,3983,0,0
horse,127752,0,0,0,935,0,0,0,0,0,0,0,1667,2496346,0,15237,0,0,0,0,0
motorbike,98941,0,2044,0,1761,173,0,17669,0,0,0,0,0,0,2428965,37887,0,0,0,0,0
person,724361,3159,38082,2035,10697,17428,15531,22978,14878,29667,23772,32524,60446,27587,59023,11871536,2512,1694,30745,9589,1379
pottedplant,201725,0,288,7523,0,0,0,0,451,186,0,451,0,0,0,391,1019043,0,4504,0,0
sheep,66016,0,0,0,0,0,0,0,25237,0,5732,0,0,0,160,52,0,1835608,0,0,0
sofa,505871,0,0,134,0,0,0,0,4198,159015,0,798,7259,0,0,46521,1936,0,2753487,0,16
train,210397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865,0,0,0,3706743,0
tvmonitor,391539,0,528,0,0,0,0,0,0,167,0,0,0,0,0,132,0,0,1360,0,1378028
